[Eng/Thai] 자체뽀샵! 데일리 메이크업 l 이사배(Risabae Makeup),https://youtu.be/5fokpSN8-a4,17:15,596050,2017. 2. 24.,https://img.youtube.com/vi/5fokpSN8-a4/0.jpg, 지방시 르 프리즘 블러쉬 2, 정샘물 리파이닝 아이섀도우 더블 네이키드샌드, 프로에잇청담 젤 아이라이너 브라운,헤라 (HERA) 내추럴 아이브라우 팩트 , 어퓨 트루 매트 립스틱 CR02 라일,삐아 라스트 블러쉬 - 블러셔 01 체리블로썸, 지방시 르 프리즘 블러쉬 2,,,,,,,,
[Eng/Thai] 귤말량이 데일리 메이크업 Tangerine Daily Makeup l 이사배(Risabae Makeup),https://youtu.be/8ejiC9Tjl0o,12:36,904499,2017. 2. 7.,https://img.youtube.com/vi/8ejiC9Tjl0o/0.jpg,,,,,,,,,,,,,,,
[Eng/Thai] Cut Crease Makeup Tutorial 컷 크리즈 메이크업 l 이사배(Risabae Makeup) Korean Beauty Creator,https://youtu.be/0Nr4MPScgFQ,12:44,729526,2017. 1. 13.,https://img.youtube.com/vi/0Nr4MPScgFQ/0.jpg,,,,,,,,,,,,,,,
[Eng/Chn/Thai] How To Look Younger makeup 동안(12월 32일) 메이크업 l 이사배(Risabae Makeup),https://youtu.be/MRtjX4Was1Q,14:29,754658,2017. 1. 6.,https://img.youtube.com/vi/MRtjX4Was1Q/0.jpg,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),,,,,,,,,,,,,,
[Eng/Spn] 인스타 데일리 메이크업 INSTAGRAM Daily Makeup Tutorial l 이사배(Risabae Makeup),https://youtu.be/jcIU6rmoPK8,14:07,1009918,2017. 1. 3.,https://img.youtube.com/vi/jcIU6rmoPK8/0.jpg,슈에무라 하드 포뮬라 씰 브라운,,,,,,,,,,,,,,
[ENG] Rudolph Inspired Art Makeup Tutorial 루돌프 아트 메이크업 l 이사배(Risabae Makeup),https://youtu.be/MRDXCs9Ss4I,14:55,408946,2016. 12. 22.,https://img.youtube.com/vi/MRDXCs9Ss4I/0.jpg,,,,,,,,,,,,,,,
[ENG] Holiday Lovely makeup Tutorial 연말 반짝 러블리 메이크업 l 이사배(Risabae Makeup),https://youtu.be/757qnb-NX3Y,14:26,974080,2016. 12. 20.,https://img.youtube.com/vi/757qnb-NX3Y/0.jpg,메이크업포에버 (MAKE UP FOR EVER) 다이아몬드 파우더 1 화이트,삐아 라스트 펜 아이라이너 초코 브라운,슈에무라 하드 포뮬라 씰 브라운,에스쁘아 루드시크 립스틱 노웨어 M ,,,,,,,,,,,
[Eng] Beginner Makeup Tutorial (pouch diet) 왕초보 올로드샵 메이크업 다이어트! l 이사배(Risabae Makeup),https://youtu.be/_IFIgb-kNew,24:33:00,1230951,2016. 12. 12.,https://img.youtube.com/vi/_IFIgb-kNew/0.jpg,더 밤 올마이,페리페라 (peripera) 비비드 틴트 워터 달콤 사과,에뛰드하우스 룩 앳 마이 아이즈 [카페] BR406 진저 밀크티,에뛰드하우스 룩 앳 마이 아이즈 [쥬얼] BE105 트윙클 윙크,,,,,,,,,,,
팝 홀리데이 메이크업 Pop Holiday Makeup(With. looks) l 이사배(Risabae Makeup),https://youtu.be/omEIBqLkeRw,13:23,432407,2016. 12. 8.,https://img.youtube.com/vi/omEIBqLkeRw/0.jpg, 로라메르시에 laura mercier 미네랄 피니싱 파우더 ,,,,,,,,,,,,,,
[Eng] 왕초보 기본템 데일리 메이크업! l 이사배(Risabae Makeup),https://youtu.be/TSjVsxsQTes,21:52,4900225,2016. 12. 2.,https://img.youtube.com/vi/TSjVsxsQTes/0.jpg,한스킨 수퍼 라이트 터치 비비 쿠션 21호,클리오 킬커버 프로 아티스트 스틱 컨실러 3호,미샤 컬러빔 쉐이더 BR02,더페이스샵 러블리 믹스 디자인 마이 아이브로우 02 다크 브라운,페어리드롭스 (FAIRYDROPS) 플래티넘 스태리 아이즈 컨투어링 3호 헤이즐베이지,미샤 컬러빔 쉐이더 BR02, 베네피트 하이브로우 글로우,에스쁘아 컬러페인팅 워터프루프 아이 펜슬 초코 청크,,,,,,,
