로드샵 원브랜드 메이크업 : 바닐라 코 Banila co. Korean one brand makeup | SSIN,https://youtu.be/GIb4Ns8Oo04,14:06,860421,2016. 7. 12.,https://img.youtube.com/vi/GIb4Ns8Oo04/0.jpg,바닐라코 커버 10 퍼펙트 쿠션 [SPF30/PA++] be20,바닐라코 서울 폭스테일 워터프루프 마스카라 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
로드샵 원브랜드 메이크업 : 토니모리 Tonymoly Korean one brand makeup | SSIN,https://youtu.be/Dv01kBvlhvo,12:26,1756359,2016. 4. 21.,https://img.youtube.com/vi/Dv01kBvlhvo/0.jpg,토니모리 루미너스 여신광채 비비크림 [SPF37/PA++] 2호 차분한 베이지,토니모리 페이스톤 크리미 팁컨실러 [SPF30/PA++] 내추럴베이지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
로드샵 원브랜드 메이크업 : 스킨푸드 SKINFOOD Korean one brand makeup | SSIN,https://youtu.be/4KXNQDzJppc,13:51,1623122,2016. 4. 8.,https://img.youtube.com/vi/4KXNQDzJppc/0.jpg,스킨푸드 청포도 프레시 베이스 60호 청포도 그린,스킨푸드 풋사과 포어메이징 선팩트 [SPF50+/PA+++] 1호 라이트베이지,스킨푸드 루트컬 마스카라 블랙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
로드샵 원브랜드 메이크업 : 에뛰드 하우스 Etude House Korean one brand makeup | SSIN,https://youtu.be/Cr7f2v5EbF8,12:40,1913740,2016. 3. 13.,https://img.youtube.com/vi/Cr7f2v5EbF8/0.jpg,에뛰드하우스 스테이 업 파운데이션 [SPF30/PA++] 샌드,에뛰드하우스 드로잉 아이 브라우 듀오 3호 그레이 브라운,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
로드샵 원브랜드 메이크업 : 미샤 MISSHA Korean one brand makeup | SSIN,https://youtu.be/8W8Djd1Yeys,11:35,1399322,2016. 3. 4.,https://img.youtube.com/vi/8W8Djd1Yeys/0.jpg,미샤 M 프리즘 믹스 웨이브 하이라이터 ,미샤 클로징 커버 리퀴드 컨실러 [SPF30/PA++] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
로드샵 원브랜드 메이크업 : 투쿨포스쿨 TCFS Korean one brand makeup | SSIN,https://youtu.be/_JNRB_eWNMk,9:17,1779911,2016. 2. 16.,https://img.youtube.com/vi/_JNRB_eWNMk/0.jpg,투쿨포스쿨 체크 벨벳 포어 팩트 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
로드샵 원브랜드 메이크업 : 삐아 #1 | SSIN,https://youtu.be/mig3VP0iWAE,13:50,738006,2018. 10. 19.,https://img.youtube.com/vi/mig3VP0iWAE/0.jpg,삐아 라스트 코렉터 01민트 라이트,삐아 라스트 코렉터 03라벤더 라이트,삐아 스파광 파운데이션 [SPF50+/PA+++] ,삐아 라스트 컨투어링 01 밀크티 브라운,삐아 라스트 컨투어링 02 커피 브라운,삐아 라스트 오토 아이브로우 펜슬 05 월넛 브라운,삐아 섀이드 앤 섀도우 10 모태그윽,삐아 캐시미어 섀도우 01 코지 다이아,삐아 캐시미어 섀도우 04 코지 타바코,삐아 글리터 아이라이너 2 06 뉴욕부자,삐아 글리터 아이라이너 3 09 눈물샤워,삐아 라스트 오토 젤 아이라이너 W3머메이드,"삐아 라스트 오토 젤 아이라이너 V1화이트초콜렛
R2로즈브라운",삐아 라스트 펜 아이라이너 샤픈 브라운,,,,,,,,,,,,,,,,,,,
(ENG) '내 여자친구를 소개합니다' 메이크업 : 여씬의 귀환 My girlfriend's makeup tutorial 2 | SSIN,https://youtu.be/_fR_6n_pPbg,5:55,1398484,2014. 11. 27.,https://img.youtube.com/vi/_fR_6n_pPbg/0.jpg,닥터자르트 세라마이딘 리퀴드 토너 ,바닐라코 더 시크릿 페이스 앤 헤어 멀티 쉐이딩 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ENG)이국주와 씬님의 88사이즈 55만들기 메이크업 Beauty in me & tvN go | SSIN,https://youtu.be/__AgvOffKqg,15:41,2219201,2014. 6. 7.,https://img.youtube.com/vi/__AgvOffKqg/0.jpg,캐트리스 올라운드 컨실러 ,에스쁘아 시크릿 커버 리퀴드 컨실러 [SPF15] 2호 샌드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
블랙핑크 로제 메이크업 Blackpink ROSE inspired makeup tutorial | SSIN,https://youtu.be/3_DEAfsr8uE,7:53,481209,2017. 3. 22.,https://img.youtube.com/vi/3_DEAfsr8uE/0.jpg,슈에무라 얼티메이트 서블라임 뷰티 오일 인 크림 ,네이처리퍼블릭 퓨어 파운데이션 21호 23호,에뛰드하우스 리얼 파우더 쿠션 [SPF50+/PA+++] 내추럴베이지,끌레드뽀 보떼 로쎄르 디끌라 15,스킨푸드 미네랄 슈가 트리플 섀도우 7호 라즈베리 타르트,삐아 피그먼트 02 매운 맛,바닐라코 아이 러브 쿠션 젤 아이라이너 오리지널: 블랙,네이처리퍼블릭 극세사 브로우 펜슬 1호 피넛브라운,맥 (MAC) 프로 롱웨어 워터프루프 브로우 세트 레드 체스트넛,슈에무라 루즈 언리미티드 슈프림 마뜨 M BG944 타르트베이지,,,,,,,,,,,,,,,,,,,,,,,
